1.8235 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
54.5718 	EXP 	target: autoDraw = True
55.1236 	EXP 	New trial (rep=4, index=0): {'word': 'red', 'color': 'red', 'congruent': 1, 'corrAns': 'left'}
55.1261 	DATA 	Keypress: down
55.1390 	EXP 	target: autoDraw = False
55.1390 	EXP 	target: height = 0.05
55.1390 	EXP 	target: height = 0.05
55.1390 	EXP 	target: height = 0.05
55.1390 	EXP 	target: text = 'red'
55.6228 	EXP 	target: autoDraw = True
58.5104 	EXP 	New trial (rep=4, index=1): {'word': 'red', 'color': 'green', 'congruent': 0, 'corrAns': 'down'}
58.5113 	DATA 	Keypress: left
58.5257 	EXP 	target: autoDraw = False
58.5257 	EXP 	target: text = 'red'
59.0095 	EXP 	target: autoDraw = True
60.0285 	EXP 	New trial (rep=4, index=2): {'word': 'blue', 'color': 'blue', 'congruent': 1, 'corrAns': 'right'}
60.0309 	DATA 	Keypress: down
60.0438 	EXP 	target: autoDraw = False
60.0438 	EXP 	target: height = 0.05
60.0438 	EXP 	target: height = 0.05
60.0438 	EXP 	target: height = 0.05
60.0438 	EXP 	target: text = 'blue'
60.5275 	EXP 	target: autoDraw = True
61.0132 	DATA 	Keypress: right
61.0302 	EXP 	New trial (rep=4, index=3): {'word': 'blue ', 'color': 'red', 'congruent': 0, 'corrAns': 'left'}
61.0447 	EXP 	target: autoDraw = False
61.0447 	EXP 	target: height = 0.05
61.0447 	EXP 	target: height = 0.05
61.0447 	EXP 	target: height = 0.05
61.0447 	EXP 	target: text = 'blue '
61.5286 	EXP 	target: autoDraw = True
62.2810 	EXP 	New trial (rep=4, index=4): {'word': 'green', 'color': 'blue', 'congruent': 0, 'corrAns': 'right'}
62.2841 	DATA 	Keypress: left
62.2961 	EXP 	target: autoDraw = False
62.2961 	EXP 	target: height = 0.05
62.2961 	EXP 	target: height = 0.05
62.2961 	EXP 	target: height = 0.05
62.2961 	EXP 	target: text = 'green'
62.7799 	EXP 	target: autoDraw = True
65.8687 	EXP 	New trial (rep=4, index=5): {'word': 'green', 'color': 'green', 'congruent': 1, 'corrAns': 'down'}
65.8704 	DATA 	Keypress: right
65.8830 	EXP 	target: autoDraw = False
65.8830 	EXP 	target: text = 'green'
66.3668 	EXP 	target: autoDraw = True
67.6196 	DATA 	Keypress: down
67.6347 	EXP 	target: autoDraw = False
67.6907 	EXP 	window1: mouseVisible = True
